
Lower is better - on [Fedora Linux](https://getfedora.org/) 35 (Workstation Edition)
Linux-5.14.10-300.fc35.x86_64-x86_64-with-glibc2.34 on 2022-05-02:

|                        Language                        |                       Version                       | Adjusted time based on CPU usage (seconds) | Average time (seconds) | Average CPU usage[^1] (%) | Average memory usage[^1] (%) |
|--------------------------------------------------------|-----------------------------------------------------|--------------------------------------------|------------------------|---------------------------|------------------------------|
|         custom c++         |                        (0,0)                        |                   0.328                    |         0.310          |           8.820           |            2.951             |
|       [pypy](https://en.wikipedia.org/wiki/PyPy)       | Python 2.7.18 (d18c191c9483, Oct 29 2021, 13:11:39) |                   1.509                    |         1.433          |           8.778           |            2.343             |
|      [c++](https://en.wikipedia.org/wiki/C%2B%2B)      |     g++ (GCC) 11.3.1 20220421 (Red Hat 11.3.1-2)    |                   1.802                    |         1.696          |           8.851           |            2.346             |
|           [rust](https://www.rust-lang.org/)           |         rustc 1.60.0 (7737e0b5c 2022-04-04)         |                   1.859                    |         1.765          |           8.778           |            2.350             |
| [c#](https://docs.microsoft.com/en-us/dotnet/csharp/)  |                       6.0.202                       |                   2.658                    |         2.519          |           8.793           |            2.479             |
| [javascript](https://en.wikipedia.org/wiki/JavaScript) |                       v16.14.0                      |                   2.928                    |         2.732          |           8.929           |            2.383             |
|                 [go](https://go.dev/)                  |           go version go1.18.1 linux/amd64           |                   5.893                    |         3.770          |           13.028          |            2.466             |
|            [julia](https://julialang.org/)             |                 julia version 1.7.2                 |                   9.310                    |         8.859          |           8.757           |            2.752             |
